id,Type,Date,Distance,Moving Time,Name,Avg HR,Intensity,Load
i172454441,Run,2026-08-04T17:15:34,7802.82,2241,Laredo Running,164,88.70161,49
i172454294,Run,2026-08-04T17:05:13,1702.55,595,Laredo Running,136,,7
i171669399,Run,2026-08-02T10:49:27,20009.41,6567,Munich Running,147,73.01864,98
i171435104,Run,2026-08-01T14:31:22,10028.94,3476,Munich Running,143,60.19812,35
i170918334,Run,2026-07-30T21:24:10,10080.12,3530,Munich Running,145,71.28727,50
i170606049,Run,2026-07-29T23:27:38,7015.06,2481,Munich Running,138,64.86895,29
i170129316,Run,2026-07-28T17:57:06,8005.57,2369,Munich Running,153,77.88268,40
i169938431,Swim,2026-07-28T07:13:48,1000.0,1335,Pool Swim,130,56.77923,12
i169351227,Run,2026-07-26T12:39:11,12031.41,4030,Munich Running,144,69.128586,54
i169091590,Run,2026-07-25T13:56:42,8067.49,2781,Munich Running,147,71.01481,39
i168852069,Run,2026-07-24T18:18:05,4239.64,1226,Munich Running,160,83.845726,24
i168846499,Run,2026-07-24T18:07:15,1792.09,615,Munich Running,141,67.55875,8
i168609981,Run,2026-07-23T23:59:24,6106.73,2085,Munich Running,143,71.86788,30
i168431003,Swim,2026-07-23T14:06:03,1000.0,1287,Pool Swim,108,44.14698,7
i168214515,Run,2026-07-22T22:06:28,5158.28,1840,Munich Running,143,69.82411,25
i167116909,Run,2026-07-19T11:54:19,18509.23,6628,Munich Running,152,76.486176,108
i166857804,Run,2026-07-18T12:51:08,12047.79,4118,Munich Running,146,71.15508,58
i166694633,Run,2026-07-17T19:52:42,6964.56,2159,Munich Running,153,78.40119,37
i166201641,Run,2026-07-16T07:42:39,8023.27,2802,Munich Running,140,66.820045,35
i166078346,Run,2026-07-15T19:49:28,5899.14,1442,B2Run,164,90.73505,33
i165495705,Swim,2026-07-14T07:13:03,775.0,971,Pool Swim,120,52.472336,8
i164971971,Run,2026-07-12T11:32:57,16006.65,5117,Munich Running,163,86.72928,107
i164702980,Run,2026-07-11T11:35:41,8018.01,2672,Munich Running,150,75.210144,42
i164296978,Run,2026-07-09T21:49:19,7007.12,2504,Munich Running,148,73.913864,38
i163931205,Run,2026-07-08T18:41:07,7261.94,2233,Intervals,148,72.93968,33
i163603184,Run,2026-07-07T18:10:54,6056.19,2107,Munich Running,136,63.869556,24
i162857503,Run,2026-07-05T11:05:25,9996.37,2571,Munich Running,180,104.4872,78
i162596557,Run,2026-07-04T12:18:38,4066.92,1378,Munich Running,159,82.38645,26
i162147783,Run,2026-07-02T18:58:08,6539.97,2148,Munich Running,141,67.2535,27
i161825894,Run,2026-07-01T18:26:17,6524.8,2217,Munich Running,148,72.72829,33
i161556618,Run,2026-06-30T18:38:06,6039.36,2178,Munich Running,146,70.40172,30
i160919493,Run,2026-06-28T11:08:20,16022.26,4813,Bilbao Running,164,87.75497,103
